NCA NUMBER,NCA TYPE,APPROVED DATE,RELEASED DATE,DEPARTMENT,AGENCY,OPERATING UNIT,AMOUNT,PURPOSE,REMARKS
NCA-ROXII-20-0004777,REG,04/01/20 15:31:32,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,Makilala National High School,"641,675.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004777,REG,04/01/20 15:31:32,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,Magpet National High School,"1,047,016.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004777,REG,04/01/20 15:31:32,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,"Matalam National High School, Barangay Linao, Matalam","641,025.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004777,REG,04/01/20 15:31:32,04/02/2020 13:38:34,Department of Education (DepEd),Office of the Secretary,"Matalam National High School, Barangay Poblacion, Matalam","1,244,323.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004776,REG,04/01/20 15:31:32,04/02/2020 13:38:33,Department of Education (DepEd),Office of the Secretary,Lika National High School,"685,713.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004776,REG,04/01/20 15:31:32,04/02/2020 13:38:33,Department of Education (DepEd),Office of the Secretary,Kimagango National High School,"358,209.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004776,REG,04/01/20 15:31:32,04/02/2020 13:38:33,Department of Education (DepEd),Office of the Secretary,Libungan National High School,"857,447.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROXII-20-0004776,REG,04/01/20 15:31:32,04/02/2020 13:38:33,Department of Education (DepEd),Office of the Secretary,Kisante National High School,"526,733.00",To cover the requirements of FY 2018 Performance-Based Bonus (PBB).,
NCA-ROIX-20-0004775,REG,04/01/20 15:18:31,04/01/2020 16:28:48,Department of Education (DepEd),Office of the Secretary,Division of Zamboanga Sibugay,"15,482,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004774,REG,04/01/20 15:18:30,04/01/2020 16:28:47,Department of Education (DepEd),Office of the Secretary,Maria Clara L. Lobregat National High School (Divisoria National High School),"623,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004773,REG,04/01/20 15:18:30,04/01/2020 16:28:47,Department of Education (DepEd),Office of the Secretary,Curuan National High School,"1,229,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004772,REG,04/01/20 14:54:40,04/01/2020 16:12:55,Department of Education (DepEd),Office of the Secretary,Vitali National High School,"1,672,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004771,REG,04/01/20 14:54:40,04/01/2020 16:12:55,Department of Education (DepEd),Office of the Secretary,Tampilisan National High School,"342,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004770,REG,04/01/20 14:33:58,04/01/2020 16:12:54,Department of Education (DepEd),Office of the Secretary,Division of Dapitan City,"1,694,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004769,REG,04/01/20 14:33:58,04/01/2020 16:12:54,Department of Education (DepEd),Office of the Secretary,Division of Dapitan City,"1,128,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004768,REG,04/01/20 14:19:48,04/01/2020 16:12:54,Department of Education (DepEd),Office of the Secretary,Division of Dapitan City,"2,692,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004767,TLRG,04/01/20 12:47:58,04/01/2020 15:21:04,Department of Health (DOH),Office of the Secretary,Margosatubig Regional Hospital,"193,814.00","To cover the Terminal Leave Benefits (TLB) of Elena C. Chiong, former Midwife III, per attached List of Actual Retirees to be Paid (LARP)",
NCA-ROIX-20-0004766,TLRG,04/01/20 12:46:11,04/01/2020 15:21:04,Department of Health (DOH),Office of the Secretary,Margosatubig Regional Hospital,"763,124.00","To cover the Terminal Leave Benefits (TLB) of Catherine P. Leong, former Pharmacist V, per attached List of Actua Retirees to be Paid (LARP)",l
NCA-ROVI-20-0004765,REG,04/01/20 11:27:15,04/01/2020 12:29:50,Department of Health (DOH),Office of the Secretary,Don Jose S. Monfort Medical Center Extension Hospital,"5,000,000.00","Release of cash allocation to cover Medical Assistance to Indigent Patients and to augment hospital funds in relation to prevention, control and treatment of COVID-19 (SAA Nos. 2020-02-0106, 2020-03-04 and 2020-03-08. (DMS Ref No. 2020-ROVI-0035761)",
NCA-BMB-D-20-0004764,TLRG,04/01/20 11:10:26,04/03/2020 13:28:31,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"241,049,272.00","To cover the funding requirements for the Retirement Gratuity Benefits of retirees (military personnel), indicated in the attached Schedules 1 to 18.",
NCA-ROVIII-20-0004763,TLRG,04/01/20 11:09:12,04/01/2020 16:20:06,Department of Education (DepEd),Office of the Secretary,Division of Eastern Samar,"1,266,810.00","To cover payment of Terminal Leave Benefits (TLB) of Besia A. Libanan, Floro O. Escala and Nerio B. Cepeda per attached Lists of Actual Retirees to be Paid (LARP)",
NCA-ROIX-20-0004762,REG,04/01/20 10:36:16,04/01/2020 12:58:25,Department of Education (DepEd),Office of the Secretary,Diplahan National High School,"196,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004762,REG,04/01/20 10:36:16,04/01/2020 12:58:25,Department of Education (DepEd),Office of the Secretary,Imelda National High School,"183,000.00",To cover additional operating requirements for FY 2020,
NCA-BMB-B-20-0004761,REG,04/01/20 10:09:54,04/02/2020 13:05:48,Department of Social Welfare and Development (DSWD),Office of the Secretary,Regional Office - NCR,"620,890,000.00","To cover cash requirements for the implementation of various programs under For Later Release per Office of the President (OP) approval dated March 27, 2020. Also included in this release is the requirements for the implementation of Kapit-Bisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services: Kapangyarihan at Kaunlaran sa Barangay (KALAHI-CIDSS-KKB).",
NCA-BMB-B-20-0004761,REG,04/01/20 10:09:54,04/02/2020 13:05:48,Department of Social Welfare and Development (DSWD),Office of the Secretary,Central Office,"3,287,369,846.00","To cover cash requirements for the implementation of various programs under For Later Release per Office of the President (OP) approval dated March 27, 2020. Also included in this release is the requirements for the implementation of Kapit-Bisig Laban sa Kahirapan-Comprehensive and Integrated Delivery of Social Services: Kapangyarihan at Kaunlaran sa Barangay (KALAHI-CIDSS-KKB).",
NCA-BMB-B-20-0004760,REG,04/01/20 10:09:53,04/02/2020 13:05:47,Department of Health (DOH),Office of the Secretary,Central Office,"95,000,000.00",To cover the funding requirements for the immediate and continued response to emerging diseases posed by Polio and Corona Virus Disease 2019 (COVID-19),
NCA-BMB-A-20-0004759,PY,04/01/20 09:48:15,04/02/2020 13:05:11,Department of Transportation (DOTr),Office of the Secretary,Regional Office - III (LTO),"8,173,162.00",To cover payment of prior year's due and demandable accounts payable.,
NCA-BMB-A-20-0004758,PY,04/01/20 09:47:52,04/02/2020 13:05:11,Department of Transportation (DOTr),Office of the Secretary,Regional Office - XII (LTO),"4,652,480.00",To cover payment of prior year's due and demandable accounts payable.,
NCA-BMB-A-20-0004757,PY,04/01/20 09:47:51,04/02/2020 13:05:11,Department of Transportation (DOTr),Office of the Secretary,Regional Office - VIII (LTO),"129,983.00",To cover payment of prior year's due and demandable accounts payable.,
NCA-BMB-A-20-0004756,PY,04/01/20 09:47:51,04/02/2020 13:05:10,Department of Transportation (DOTr),Office of the Secretary,Regional Office - III (LTO),"226,439.00",To cover payment of prior year's due and demandable accounts payable.,
NCA-BMB-E-20-0004755,LP,04/01/20 09:47:04,04/02/2020 16:09:54,Department of Environment and Natural Resources (DENR),Office of the Secretary,Central Office,"15,300,507.03",Working Fund for the implementation of the JICA-Assisted Forestland Management Project of the Department of Environment and Natural Resources-Office of the Secretary under JICA Loan PH-P248,
NCA-BMB-E-20-0004754,REG,04/01/20 09:47:03,04/02/2020 13:06:12,Department of Agriculture (DA),Office of the Secretary,Central Office,"1,425,000,000.00",To cover the funding requirements for the replenishment of the Quick Response Fund.,
NCA-ROVI-20-0004753,REG,04/01/20 09:28:15,04/01/2020 10:01:11,Department of Education (DepEd),Office of the Secretary,Calinog National Comprehensive High School,"342,000.00",Release of cash allocation to cover requirements due to filling of positions. (DMS Ref Nos. 2020-ROVI-0035639 and 2020-ROVI-0035657),
NCA-ROVI-20-0004753,REG,04/01/20 09:28:15,04/01/2020 10:01:11,Department of Education (DepEd),Office of the Secretary,Batad National High School,"141,000.00",Release of cash allocation to cover requirements due to filling of positions. (DMS Ref Nos. 2020-ROVI-0035639 and 2020-ROVI-0035657),
NCA-ROVI-20-0004753,REG,04/01/20 09:28:15,04/01/2020 10:01:11,Department of Education (DepEd),Office of the Secretary,Malapaya National High School,"138,000.00",Release of cash allocation to cover requirements due to filling of positions. (DMS Ref Nos. 2020-ROVI-0035639 and 2020-ROVI-0035657),
NCA-ROIX-20-0004752,REG,04/01/20 09:24:50,04/01/2020 12:58:25,Department of Education (DepEd),Office of the Secretary,Dohinob National High School,"292,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004751,REG,04/01/20 09:24:50,04/01/2020 12:58:25,Department of Education (DepEd),Office of the Secretary,Liloy National High School,"442,000.00",To cover additional operating requirements for FY 2020,
NCA-ROIX-20-0004750,REG,04/01/20 08:54:34,04/01/2020 12:58:25,Department of Education (DepEd),Office of the Secretary,Gutalac National High School,"559,000.00",To cover additional operating requirement for FY 2020,
NCA-BMB-D-20-0004749,TLRG,03/31/20 15:57:08,04/03/2020 13:28:31,Other Executive Offices (OEOs),National Intelligence Coordinating Agency,,"7,738,245.00","To cover the funding requirements for the Terminal Leave Benefits of twelve (12) retirees (civilian personnel), per attached Schedules 1 and 2.",
NCA-BMB-D-20-0004748,REG,03/31/20 15:39:22,04/01/2020 16:47:18,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"1,177,673,000.00",To cover the requirements for Intelligence Fund.,
NCA-BMB-D-20-0004748,REG,03/31/20 15:39:22,04/01/2020 16:47:18,Department of National Defense (DND),Philippine Air Force ( Air Forces ),,"17,000,000.00",To cover the requirements for Intelligence Fund.,
NCA-BMB-D-20-0004748,REG,03/31/20 15:39:22,04/01/2020 16:47:18,Department of National Defense (DND),Philippine Navy ( Naval Forces ),Philippine Marine Corps,"7,433,000.00",To cover the requirements for Intelligence Fund.,
NCA-BMB-D-20-0004748,REG,03/31/20 15:39:22,04/01/2020 16:47:18,Department of National Defense (DND),Philippine Navy ( Naval Forces ),Philippine Navy,"32,316,000.00",To cover the requirements for Intelligence Fund.,
NCA-BMB-D-20-0004748,REG,03/31/20 15:39:22,04/01/2020 16:47:18,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",Presidential Security Group,"12,000,000.00",To cover the requirements for Intelligence Fund.,
NCA-BMB-D-20-0004748,REG,03/31/20 15:39:22,04/01/2020 16:47:18,Department of National Defense (DND),Philippine Army ( Land Forces ),,"444,000,000.00",To cover the requirements for Intelligence Fund.,
NCA-ROVI-20-0004747,REG,03/31/20 15:01:01,03/31/2020 16:37:04,Department of Education (DepEd),Office of the Secretary,Mateo National High School (Doroteo De La Nota National High School),"144,000.00","Release of cash allocation to cover the 1st Semester of PS requirements of the newly-filled positions (DMS Ref. No. 2020-ROVI-0034843, 2020-ROVI-0035112, 2020-ROVI-0034841, 2020-ROVI-0035111).",
NCA-ROVI-20-0004747,REG,03/31/20 15:01:01,03/31/2020 16:37:04,Department of Education (DepEd),Office of the Secretary,Wenceslao S. Grio National High School (Puyas National High School),"144,000.00","Release of cash allocation to cover the 1st Semester of PS requirements of the newly-filled positions (DMS Ref. No. 2020-ROVI-0034843, 2020-ROVI-0035112, 2020-ROVI-0034841, 2020-ROVI-0035111).",
NCA-ROVI-20-0004747,REG,03/31/20 15:01:01,03/31/2020 16:37:04,Department of Education (DepEd),Office of the Secretary,Badiangan National High School,"138,000.00","Release of cash allocation to cover the 1st Semester of PS requirements of the newly-filled positions (DMS Ref. No. 2020-ROVI-0034843, 2020-ROVI-0035112, 2020-ROVI-0034841, 2020-ROVI-0035111).",
NCA-ROVI-20-0004747,REG,03/31/20 15:01:01,03/31/2020 16:37:04,Department of Education (DepEd),Office of the Secretary,Janiuay National Comprehensive High School,"977,000.00","Release of cash allocation to cover the 1st Semester of PS requirements of the newly-filled positions (DMS Ref. No. 2020-ROVI-0034843, 2020-ROVI-0035112, 2020-ROVI-0034841, 2020-ROVI-0035111).",
NCA-ROVI-20-0004747,REG,03/31/20 15:01:01,03/31/2020 16:37:04,Department of Education (DepEd),Office of the Secretary,Bay-ang National High School,"139,000.00","Release of cash allocation to cover the 1st Semester of PS requirements of the newly-filled positions (DMS Ref. No. 2020-ROVI-0034843, 2020-ROVI-0035112, 2020-ROVI-0034841, 2020-ROVI-0035111).",
NCA-ROVI-20-0004746,REG,03/31/20 15:01:01,03/31/2020 16:37:03,Department of Education (DepEd),Office of the Secretary,Carvasana National High School,"322,000.00",Release of cash allocation to cover the 2nd Quarter of PS requirements of the newly-filled positions (DMS Ref. No. 2020-ROVI-0034843).,
NCA-BMB-D-20-0004745,TLRG,03/31/20 14:52:17,04/01/2020 16:47:18,Allocations to Local Government Units (ALGU),Bangsamoro Autonomous Region in Muslim Mindanao,,"387,147,516.00","To cover the funding requirements for payment of separation incentives of 386 employees of the then Autonomous Region in Muslim Mindanao-Regional Department of Public Works and Highways, per Annexes A-1 to A-13.",
NCA-BMB-D-20-0004744,TLRG,03/31/20 14:11:09,04/03/2020 13:28:30,Department of National Defense (DND),"General Headquarters, AFP and AFP-Wide Service Support Units (AFPWSSUS)",General Headquarters - Proper,"210,083,840.00","To cover the Retirement Gratuity Benefits of one hundred eighty (180) retirees (military personnel), indicated in the attached Schedules 1 to 11.",
NCA-ROX-20-0004743,APB,03/31/20 13:45:20,03/31/2020 15:34:00,Department of Education (DepEd),Office of the Secretary,Regional Office - X,"450,502.00","To cover payment for Terminal Leave Benefits of Mr. Arnel T. Genita, optional retiree per attached List of Actual Retirees To Be Paid (Annex B).",
